*********************************************************************
Inicio da listagem dos token


| Token: inicioprograma | Lexema: iniciop | (L1 - C0 )
| Token: var | Lexema: var | (L3 - C0 )
| Token: id | Lexema: a | (L3 - C4 )
| Token: ; | Lexema: ; | (L3 - C5 )
| Token: var | Lexema: var | (L4 - C0 )
| Token: id | Lexema: b | (L4 - C4 )
| Token: ; | Lexema: ; | (L4 - C5 )
| Token: var | Lexema: var | (L5 - C0 )
| Token: id | Lexema: c | (L5 - C4 )
| Token: ; | Lexema: ; | (L5 - C5 )
| Token: leia | Lexema: leia | (L7 - C0 )
| Token: ( | Lexema: ( | (L7 - C4 )
| Token: id | Lexema: a | (L7 - C5 )
| Token: ) | Lexema: ) | (L7 - C6 )
| Token: ; | Lexema: ; | (L7 - C7 )
| Token: leia | Lexema: leia | (L8 - C0 )
| Token: ( | Lexema: ( | (L8 - C4 )
| Token: id | Lexema: b | (L8 - C5 )
| Token: ) | Lexema: ) | (L8 - C6 )
| Token: ; | Lexema: ; | (L8 - C7 )
| Token: leia | Lexema: leia | (L9 - C0 )
| Token: ( | Lexema: ( | (L9 - C4 )
| Token: id | Lexema: c | (L9 - C5 )
| Token: ) | Lexema: ) | (L9 - C6 )
| Token: ; | Lexema: ; | (L9 - C7 )
| Token: se | Lexema: se | (L11 - C4 )
| Token: ( | Lexema: ( | (L11 - C6 )
| Token: id | Lexema: a | (L11 - C8 )
| Token: + | Lexema: + | (L11 - C10 )
| Token: id | Lexema: b | (L11 - C12 )
| Token: > | Lexema: > | (L11 - C15 )
| Token: id | Lexema: c | (L11 - C17 )
| Token: ) | Lexema: ) | (L11 - C18 )
| Token: entao | Lexema: entao | (L11 - C20 )
| Token: se | Lexema: se | (L12 - C8 )
| Token: ( | Lexema: ( | (L12 - C10 )
| Token: id | Lexema: a | (L12 - C11 )
| Token: + | Lexema: + | (L12 - C13 )
| Token: id | Lexema: c | (L12 - C15 )
| Token: > | Lexema: > | (L12 - C17 )
| Token: id | Lexema: b | (L12 - C19 )
| Token: ) | Lexema: ) | (L12 - C20 )
| Token: entao | Lexema: entao | (L12 - C22 )
| Token: se | Lexema: se | (L13 - C12 )
| Token: ( | Lexema: ( | (L13 - C14 )
| Token: id | Lexema: b | (L13 - C15 )
| Token: + | Lexema: + | (L13 - C17 )
| Token: id | Lexema: c | (L13 - C19 )
| Token: > | Lexema: > | (L13 - C21 )
| Token: id | Lexema: a | (L13 - C23 )
| Token: ) | Lexema: ) | (L13 - C24 )
| Token: entao | Lexema: entao | (L13 - C26 )
| Token: se | Lexema: se | (L15 - C16 )
| Token: ( | Lexema: ( | (L15 - C18 )
| Token: id | Lexema: a | (L15 - C20 )
| Token: == | Lexema: == | (L15 - C22 )
| Token: id | Lexema: b | (L15 - C25 )
| Token: ) | Lexema: ) | (L15 - C27 )
| Token: entao | Lexema: entao | (L15 - C29 )
| Token: se | Lexema: se | (L16 - C20 )
| Token: ( | Lexema: ( | (L16 - C22 )
| Token: id | Lexema: a | (L16 - C24 )
| Token: == | Lexema: == | (L16 - C26 )
