inicioprograma { iniciop } (L1 - C1 )
var { var } (L3 - C1 )
id { l1 } (L3 - C5 )
; { ; } (L3 - C7 )
var { var } (L4 - C1 )
id { l2 } (L4 - C5 )
; { ; } (L4 - C7 )
var { var } (L5 - C1 )
id { l3 } (L5 - C5 )
; { ; } (L5 - C7 )
leia { leia } (L7 - C1 )
( { ( } (L7 - C5 )
id { l1 } (L7 - C6 )
) { ) } (L7 - C8 )
; { ; } (L7 - C9 )
leia { leia } (L8 - C1 )
( { ( } (L8 - C5 )
id { l2 } (L8 - C6 )
) { ) } (L8 - C8 )
; { ; } (L8 - C9 )
leia { leia } (L9 - C1 )
( { ( } (L9 - C5 )
id { l3 } (L9 - C6 )
) { ) } (L9 - C8 )
; { ; } (L9 - C9 )
var { var } (L11 - C1 )
id { l12 } (L11 - C5 )
; { ; } (L11 - C8 )
id { l12 } (L12 - C1 )
= { = } (L12 - C5 )
id { l1 } (L12 - C7 )
+ { + } (L12 - C10 )
id { l2 } (L12 - C12 )
; { ; } (L12 - C15 )
var { var } (L13 - C1 )
id { l13 } (L13 - C5 )
; { ; } (L13 - C8 )
id { l13 } (L14 - C1 )
= { = } (L14 - C5 )
id { l1 } (L14 - C7 )
+ { + } (L14 - C10 )
id { l3 } (L14 - C12 )
; { ; } (L14 - C14 )
id { l23 } (L15 - C1 )
= { = } (L15 - C5 )
id { l2 } (L15 - C7 )
+ { + } (L15 - C10 )
id { l3 } (L15 - C12 )
; { ; } (L15 - C14 )
se { se } (L17 - C1 )
( { ( } (L17 - C4 )
id { l12 } (L17 - C5 )
> { > } (L17 - C9 )
id { l3 } (L17 - C11 )
) { ) } (L17 - C13 )
se { se } (L18 - C3 )
( { ( } (L18 - C6 )
id { l3 } (L18 - C7 )
> { > } (L18 - C10 )
id { l2 } (L18 - C12 )
) { ) } (L18 - C14 )
se { se } (L19 - C5 )
( { ( } (L19 - C8 )
id { l23 } (L19 - C9 )
> { > } (L19 - C13 )
id { l1 } (L19 - C15 )
) { ) } (L19 - C17 )
se { se } (L20 - C7 )
( { ( } (L20 - C10 )
id { l1 } (L20 - C11 )
== { == } (L20 - C14 )
id { l2 } (L20 - C17 )
) { ) } (L20 - C19 )
se { se } (L21 - C9 )
( { ( } (L21 - C12 )
id { l2 } (L21 - C13 )
== { == } (L21 - C16 )
id { l3 } (L21 - C19 )
) { ) } (L21 - C21 )
escreva { escreva } (L22 - C11 )
( { ( } (L22 - C18 )
numero { 1 } (L22 - C19 )
) { ) } (L22 - C20 )
; { ; } (L22 - C21 )
fimse { fimse } (L23 - C9 )
senao { senao } (L24 - C9 )
escreva { escreva } (L25 - C11 )
( { ( } (L25 - C18 )
numero { 2 } (L25 - C19 )
) { ) } (L25 - C20 )
; { ; } (L25 - C21 )
fimse { fimse } (L26 - C9 )
senao { senao } (L27 - C7 )
se { se } (L28 - C9 )
( { ( } (L28 - C12 )
id { l1 } (L28 - C13 )
== { == } (L28 - C16 )
id { l3 } (L28 - C19 )
) { ) } (L28 - C21 )
escreva { escreva } (L29 - C11 )
( { ( } (L29 - C18 )
numero { 2 } (L29 - C19 )
) { ) } (L29 - C20 )
; { ; } (L29 - C21 )
fimse { fimse } (L30 - C9 )
senao { senao } (L31 - C9 )
se { se } (L32 - C11 )
( { ( } (L32 - C14 )
id { l2 } (L32 - C15 )
== { == } (L32 - C18 )
id { l3 } (L32 - C21 )
) { ) } (L32 - C23 )
escreva { escreva } (L33 - C13 )
( { ( } (L33 - C20 )
numero { 2 } (L33 - C21 )
) { ) } (L33 - C22 )
; { ; } (L33 - C23 )
fimse { fimse } (L34 - C11 )
senao { senao } (L35 - C11 )
escreva { escreva } (L36 - C13 )
( { ( } (L36 - C20 )
numero { 3 } (L36 - C21 )
) { ) } (L36 - C22 )
; { ; } (L36 - C23 )
fimse { fimse } (L37 - C11 )
fimse { fimse } (L38 - C9 )
fimse { fimse } (L39 - C7 )
senao { senao } (L40 - C5 )
escreva { escreva } (L41 - C7 )
( { ( } (L41 - C14 )
numero { 99 } (L41 - C15 )
) { ) } (L41 - C17 )
; { ; } (L41 - C18 )
fimse { fimse } (L42 - C5 )
senao { senao } (L43 - C3 )
escreva { escreva } (L44 - C5 )
( { ( } (L44 - C12 )
numero { 99 } (L44 - C13 )
) { ) } (L44 - C15 )
; { ; } (L44 - C16 )
fimse { fimse } (L45 - C3 )
senao { senao } (L46 - C1 )
escreva { escreva } (L47 - C3 )
( { ( } (L47 - C10 )
numero { 99 } (L47 - C11 )
) { ) } (L47 - C13 )
; { ; } (L47 - C14 )
fimse { fimse } (L48 - C1 )
fimprograma { fimp } (L50 - C1 )
